Metrekare,Oda_Sayisi,Bina_Yasi,Fiyat,Lokasyon_B,Lokasyon_C
81,1,33,165000,True,False
83,4,7,369000,False,False
141,1,4,283000,False,True
144,3,39,316000,False,False
121,5,48,375000,True,False
88,1,10,218000,False,True
167,1,15,287000,False,False
52,1,16,170000,True,False
172,3,38,346000,True,False
99,1,4,241000,False,True
61,1,4,203000,False,False
103,5,36,381000,False,True
182,3,27,378000,False,True
106,3,22,312000,False,True
194,1,22,300000,False,True
161,3,17,377000,False,False
96,2,45,206000,False,True
134,3,34,316000,True,False
191,3,32,377000,True,False
115,3,6,353000,True,False
124,4,33,358000,False,True
152,4,8,436000,True,False
87,4,36,315000,False,False
99,3,5,339000,False,True
147,2,5,337000,False,True
131,3,47,287000,False,True
79,1,10,209000,False,False
128,2,40,248000,False,True
140,4,7,426000,False,True
101,5,12,427000,True,False
128,2,30,268000,True,False
79,4,25,329000,False,True
155,2,28,299000,False,False
100,2,43,214000,True,False
130,3,13,354000,False,True
182,1,47,238000,True,False
78,5,49,330000,True,False
181,4,22,437000,False,False
187,2,18,351000,False,True
194,5,27,490000,True,False
123,2,8,307000,False,True
66,1,6,204000,False,False
133,5,11,461000,False,False
118,4,29,360000,True,False
83,2,41,201000,False,False
55,1,5,195000,True,False
102,5,7,438000,False,True
175,2,22,331000,True,False
92,2,47,198000,True,False
164,4,4,456000,False,False
160,1,32,246000,False,True
129,3,19,341000,False,True
144,2,45,254000,True,False
167,5,33,451000,False,True
193,4,1,491000,False,True
57,4,46,265000,True,False
181,2,41,299000,True,False
153,2,44,265000,False,True
181,2,41,299000,True,False
74,3,8,308000,False,False
145,2,32,281000,False,True
142,1,30,232000,True,False
110,5,46,368000,False,True
171,2,28,315000,False,True
100,3,41,268000,False,False
196,5,32,482000,False,False
70,4,25,320000,False,True
54,2,34,186000,False,False
141,5,33,425000,True,False
110,4,13,384000,False,True
71,3,25,271000,False,False
198,1,42,264000,False,True
119,2,40,239000,False,True
50,1,39,122000,True,False
182,3,44,344000,True,False
61,5,49,313000,True,False
139,5,44,401000,False,False
95,3,48,249000,False,False
83,3,10,313000,False,False
127,2,31,265000,True,False
94,4,44,306000,False,True
122,1,11,250000,True,False
75,1,25,175000,False,False
96,5,46,354000,False,False
170,5,45,430000,False,False
105,2,34,237000,True,False
143,3,20,353000,False,False
156,1,7,292000,True,False
112,2,33,246000,False,True
97,5,35,377000,True,False
110,5,29,402000,False,False
130,1,12,256000,False,True
75,5,5,415000,False,False
85,5,12,411000,False,True
50,4,29,292000,False,False
57,3,35,237000,True,False
162,5,20,472000,False,False
148,4,37,374000,True,False
96,2,1,294000,True,False
176,5,16,494000,False,True
105,2,30,245000,True,False
63,5,9,395000,True,False
77,1,42,143000,True,False
127,4,10,407000,False,True
179,4,13,453000,False,False
158,1,48,212000,False,False
63,3,20,273000,True,False
105,4,29,347000,True,False
164,2,4,356000,False,False
56,4,46,264000,True,False
52,3,49,204000,False,False
160,2,28,304000,False,True
156,2,37,282000,True,False
67,1,13,191000,True,False
87,5,3,431000,False,False
164,1,37,240000,False,False
64,5,48,318000,False,True
168,1,19,280000,True,False
77,5,28,371000,False,False
88,4,19,350000,False,True
66,2,17,232000,False,False
135,5,18,449000,False,False
175,4,18,439000,False,True
93,3,23,297000,False,True
74,1,40,144000,False,True
194,3,9,426000,False,True
62,4,29,304000,False,True
74,3,42,240000,False,True
117,3,29,309000,True,False
187,4,2,483000,False,True
116,2,17,282000,True,False
158,5,45,418000,False,False
195,1,31,283000,False,False
160,5,28,454000,False,True
160,1,43,224000,False,False
83,5,48,337000,False,True
160,3,39,332000,False,True
57,2,30,197000,True,False
162,3,35,342000,False,False
132,2,48,236000,False,True
91,4,20,351000,False,False
150,1,16,268000,True,False
55,1,34,137000,False,False
75,4,14,347000,True,False
113,5,26,411000,True,False
108,4,20,368000,True,False
158,4,42,374000,False,True
170,2,24,322000,False,True
82,4,43,296000,False,False
199,1,18,313000,False,True
70,3,43,234000,False,True
119,2,9,301000,False,False
161,2,19,323000,True,False
53,5,20,363000,True,False
143,3,42,309000,False,False
124,2,30,264000,False,True
111,4,26,359000,False,False
143,2,31,281000,False,False
144,2,35,274000,False,True
104,2,3,298000,False,False
186,5,40,456000,False,True
180,2,29,322000,False,True
80,2,6,268000,False,False
89,5,1,437000,True,False
85,3,24,287000,False,True
55,1,38,129000,True,False
115,5,34,397000,False,True
124,5,7,460000,True,False
53,2,11,231000,False,False
128,2,11,306000,False,True
183,1,36,261000,False,False
167,2,20,327000,False,False
162,4,16,430000,False,False
143,2,5,333000,False,True
111,2,24,263000,False,False
128,4,30,368000,False,False
185,1,30,275000,False,True
75,4,39,297000,False,False
93,5,48,347000,False,True
182,4,47,388000,False,False
119,3,37,295000,True,False
167,5,33,451000,False,False
117,2,20,277000,True,False
68,5,22,374000,False,True
69,1,41,137000,True,False
162,1,21,270000,False,True
189,4,37,415000,False,False
96,5,27,392000,True,False
50,2,38,174000,False,False
139,1,35,219000,True,False
191,2,38,315000,False,True
113,3,40,283000,False,True
87,1,6,225000,False,True
86,4,32,322000,False,True
175,3,16,393000,False,False
188,5,28,482000,False,False
149,2,16,317000,False,False
126,1,27,222000,False,False
52,3,3,296000,False,False
183,3,49,335000,False,True
59,1,21,167000,False,False
54,5,38,328000,False,False
187,5,38,461000,False,False
179,4,30,419000,False,True
62,5,22,368000,False,True
179,4,19,441000,False,True
133,3,31,321000,False,True
114,1,20,224000,False,False
112,5,47,368000,False,False
150,4,19,412000,True,False
122,3,2,368000,False,False
66,5,40,336000,False,True
58,2,39,180000,False,True
192,3,27,388000,False,False
87,5,8,421000,True,False
143,3,45,303000,False,True
144,1,27,240000,True,False
98,1,15,218000,False,True
118,1,12,244000,False,True
111,2,47,217000,False,False
127,1,14,249000,False,True
166,2,7,352000,True,False
169,1,17,285000,True,False
186,3,26,384000,False,False
125,5,37,401000,False,True
84,5,20,394000,True,False
50,1,10,180000,False,False
89,5,19,401000,True,False
113,1,18,227000,False,False
199,1,30,289000,True,False
109,4,30,349000,False,True
113,4,25,363000,True,False
142,4,24,394000,True,False
121,2,10,301000,False,False
60,4,2,356000,False,False
154,1,38,228000,False,False
63,3,32,249000,True,False
109,4,35,339000,False,False
79,4,37,305000,False,True
84,3,7,320000,False,False
54,1,7,190000,False,False
132,2,27,278000,False,True
172,4,10,452000,False,False
127,3,33,311000,False,False
111,1,43,175000,True,False
181,5,7,517000,True,False
138,2,6,326000,False,False
91,3,6,329000,False,True
138,3,13,362000,False,False
195,3,48,349000,False,False
89,4,13,363000,False,False
121,5,2,467000,True,False
88,2,19,250000,False,True
153,1,19,265000,False,True
63,1,38,137000,False,True
81,5,2,427000,True,False
174,3,26,372000,True,False
146,3,6,384000,False,False
72,3,20,282000,True,False
112,3,23,316000,False,False
192,3,15,412000,True,False
194,5,6,532000,False,False
102,4,28,346000,True,False
153,2,35,283000,False,True
153,3,11,381000,False,False
88,4,8,372000,True,False
183,1,49,235000,True,False
116,5,24,418000,False,False
184,4,21,442000,True,False
91,3,49,243000,False,True
64,3,36,242000,False,False
160,3,7,396000,False,False
82,4,5,372000,False,False
87,3,29,279000,False,False
146,4,16,414000,False,False
82,3,6,320000,False,True
135,1,14,257000,False,False
115,1,2,261000,False,True
59,2,25,209000,False,True
54,3,31,242000,False,True
172,3,13,396000,False,False
123,4,18,387000,False,True
146,4,17,412000,False,False
167,3,45,327000,False,True
87,2,28,231000,False,False
190,3,12,416000,True,False
96,4,35,326000,True,False
158,3,22,364000,False,True
64,4,39,286000,True,False
185,3,1,433000,False,True
54,5,37,330000,False,True
96,4,21,354000,False,True
117,2,1,315000,True,False
125,5,4,467000,False,True
179,3,32,365000,True,False
144,4,1,442000,True,False
164,5,13,488000,False,False
85,2,46,193000,True,False
75,4,47,281000,False,False
92,5,17,408000,False,True
76,5,12,402000,False,True
118,5,7,454000,False,False
197,1,3,341000,False,True
60,3,26,258000,False,False
123,4,31,361000,False,False
153,4,36,381000,False,True
87,4,26,335000,False,False
183,5,3,527000,False,False
72,3,44,234000,False,False
96,2,28,240000,False,True
139,4,44,351000,False,True
95,3,17,311000,False,True
156,3,38,330000,False,True
189,1,47,245000,False,True
190,4,30,430000,True,False
153,5,2,499000,True,False
160,3,8,394000,False,False
153,3,14,375000,True,False
109,2,37,235000,False,True
149,1,35,229000,False,True
117,3,42,283000,False,True
182,3,39,354000,False,False
169,5,11,497000,False,False
86,5,15,406000,False,False
121,2,2,317000,False,False
176,2,37,302000,False,False
155,2,43,269000,False,False
141,5,32,427000,True,False
80,5,40,350000,False,True
171,1,13,295000,True,False
186,4,43,400000,False,False
100,4,17,366000,False,True
78,1,15,198000,False,True
89,4,33,323000,False,True
90,5,16,408000,True,False
60,4,13,334000,False,True
50,5,22,356000,False,False
95,1,23,199000,False,False
150,2,36,278000,True,False
198,1,43,262000,True,False
139,4,10,419000,False,False
159,5,17,475000,True,False
106,4,30,346000,False,True
50,4,13,324000,True,False
112,2,30,252000,False,True
104,4,46,312000,False,True
164,2,30,304000,False,True
192,5,7,528000,False,True
198,5,10,528000,False,True
102,2,35,232000,False,False
186,1,2,332000,False,False
106,5,30,396000,False,False
166,1,19,278000,False,True
84,5,39,356000,True,False
112,5,37,388000,True,False
74,3,3,318000,False,True
139,4,25,389000,True,False
124,4,34,356000,False,True
87,1,22,193000,True,False
179,4,38,403000,False,True
184,1,14,306000,True,False
140,5,39,412000,True,False
66,3,2,312000,False,False
177,3,32,363000,True,False
157,5,43,421000,True,False
74,2,3,268000,False,True
137,2,41,255000,True,False
78,4,8,362000,True,False
112,1,26,210000,True,False
199,3,32,385000,True,False
163,4,11,441000,True,False
98,5,1,446000,False,False
130,3,15,350000,True,False
133,1,4,275000,False,True
154,1,4,296000,False,True
197,2,28,341000,True,False
167,4,10,447000,True,False
135,5,11,463000,True,False
112,3,23,316000,False,False
153,1,47,209000,False,True
98,3,3,342000,False,False
120,5,39,392000,False,False
50,3,39,222000,True,False
190,4,17,456000,True,False
172,2,22,328000,False,True
111,3,27,307000,True,False
81,2,16,249000,False,True
78,5,16,396000,False,False
98,2,40,218000,False,True
79,3,3,323000,False,True
193,3,47,349000,False,True
68,1,33,152000,False,False
67,3,42,233000,False,False
50,2,2,246000,True,False
127,1,39,199000,True,False
164,3,46,322000,False,True
162,3,48,316000,False,True
163,5,27,459000,False,False
112,1,15,232000,False,False
181,5,7,517000,False,False
178,5,45,438000,False,True
57,5,42,323000,False,True
104,4,9,386000,False,False
152,5,41,420000,False,True
180,2,6,368000,False,False
81,3,12,307000,True,False
59,4,30,299000,False,False
159,5,20,469000,False,True
173,3,20,383000,False,True
136,1,46,194000,False,True
104,1,27,200000,False,True
81,3,20,291000,False,False
184,2,7,370000,False,False
142,3,40,312000,True,False
57,3,40,227000,False,False
114,4,30,354000,True,False
106,1,8,240000,False,False
116,1,2,262000,False,False
121,5,14,443000,False,True
103,3,10,333000,True,False
116,3,18,330000,False,True
100,2,18,264000,False,True
146,1,16,264000,False,False
141,2,5,331000,False,False
57,4,31,295000,True,False
84,5,37,360000,True,False
145,2,20,305000,False,False
137,1,23,241000,True,False
127,4,32,363000,False,False
81,3,42,247000,False,False
169,4,17,435000,False,False
95,2,13,269000,True,False
193,1,49,245000,False,True
191,2,13,365000,True,False
104,3,17,320000,False,True
56,3,15,276000,True,False
123,1,26,221000,False,True
56,5,44,318000,False,True
134,4,28,378000,True,False
196,4,42,412000,True,False
161,3,45,321000,False,True
174,2,30,314000,False,False
196,2,43,310000,False,True
85,5,35,365000,False,True
78,2,22,234000,False,False
131,4,10,411000,False,True
51,2,11,229000,False,False
178,5,38,452000,False,False
96,4,33,330000,True,False
197,2,6,385000,False,True
60,4,37,286000,False,True
179,3,7,415000,False,False
168,3,44,330000,False,True
189,3,12,415000,False,False
69,2,7,255000,False,True
54,5,2,400000,False,True
86,4,1,384000,False,False
